,color,fullpath,length
163,LightCoral and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201224_C005_Proxy.mp4,7.625
164,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201239_C006_Proxy.mp4,13.583333
165,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201240_C007_Proxy.mp4,15.25
166,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A010_01201241_C008_Proxy.mp4,12.583333
167,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201241_C009_Proxy.mp4,12.0
168,LightCoral and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201241_C010_Proxy.mp4,7.791667
169,Gray and Malibu,E:\CLOUD FILM MEDIA\PROXIES\A010_01201242_C011_Proxy.mp4,19.541667
170,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201242_C012_Proxy.mp4,18.208333
171,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201243_C013_Proxy.mp4,6.708333
172,Gray and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A010_01201243_C014_Proxy.mp4,4.75
173,Gray and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A010_01201243_C015_Proxy.mp4,19.333333
174,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201244_C016_Proxy.mp4,21.708333
175,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201244_C017_Proxy.mp4,18.083333
176,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201245_C018_Proxy.mp4,7.958333
177,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201245_C019_Proxy.mp4,8.333333
178,Navy and Olive,E:\CLOUD FILM MEDIA\PROXIES\A010_01201245_C020_Proxy.mp4,17.916667
179,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201246_C021_Proxy.mp4,35.0
180,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201246_C022_Proxy.mp4,14.833333
181,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201247_C023_Proxy.mp4,11.25
182,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201247_C024_Proxy.mp4,26.0
183,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201248_C025_Proxy.mp4,22.583333
184,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201248_C026_Proxy.mp4,9.541667
185,Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201248_C027_Proxy.mp4,5.958333
186,Black and Teal,E:\CLOUD FILM MEDIA\PROXIES\A010_01201249_C028_Proxy.mp4,6.5
187,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201249_C029_Proxy.mp4,6.25
188,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201249_C030_Proxy.mp4,5.583333
189,Black and Teal,E:\CLOUD FILM MEDIA\PROXIES\A010_01201250_C031_Proxy.mp4,8.5
190,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201253_C032_Proxy.mp4,102.916667
191,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201255_C033_Proxy.mp4,71.166667
192,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201257_C034_Proxy.mp4,84.416667
193,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201329_C035_Proxy.mp4,3.875
194,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201329_C036_Proxy.mp4,78.5
195,Gray and Green,E:\CLOUD FILM MEDIA\PROXIES\A010_01201333_C037_Proxy.mp4,90.75
196,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A010_01201334_C038_Proxy.mp4,26.666667
197,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201335_C039_Proxy.mp4,313.666667
198,Rose and Teal,E:\CLOUD FILM MEDIA\PROXIES\A010_01201337_C040_Proxy.mp4,89.25
199,LightCoral and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201356_C041_Proxy.mp4,264.875
200,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201359_C042_Proxy.mp4,8.458333
201,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201400_C043_Proxy.mp4,9.166667
202,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201400_C044_Proxy.mp4,10.166667
203,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201400_C045_Proxy.mp4,7.333333
204,LightCoral and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201400_C046_Proxy.mp4,7.958333
205,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201401_C047_Proxy.mp4,10.041667
206,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201401_C048_Proxy.mp4,11.583333
207,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A010_01201401_C049_Proxy.mp4,4.416667
208,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201402_C050_Proxy.mp4,3.916667
209,LightCoral and Anakiwa,E:\CLOUD FILM MEDIA\PROXIES\A010_01201402_C051_Proxy.mp4,4.875
210,Olive and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201418_C052_Proxy.mp4,7.833333
211,Black and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201418_C053_Proxy.mp4,14.666667
212,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201418_C054_Proxy.mp4,100.583333
213,Navy and Green,E:\CLOUD FILM MEDIA\PROXIES\A010_01201420_C055_Proxy.mp4,34.458333
214,Black and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201420_C056_Proxy.mp4,37.166667
215,Navy and Orange,E:\CLOUD FILM MEDIA\PROXIES\A010_01201421_C057_Proxy.mp4,116.708333
216,LightCoral and Anakiwa,E:\CLOUD FILM MEDIA\PROXIES\A010_01201422_C058_Proxy.mp4,14.5
217,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201449_C059_Proxy.mp4,9.625
218,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201449_C060_Proxy.mp4,16.583333
219,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201450_C061_Proxy.mp4,16.291667
220,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201451_C062_Proxy.mp4,8.041667
221,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201451_C063_Proxy.mp4,8.708333
222,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201451_C064_Proxy.mp4,7.916667
223,Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201452_C065_Proxy.mp4,13.875
224,Gray and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201452_C066_Proxy.mp4,7.208333
225,Black and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201453_C067_Proxy.mp4,11.375
226,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201454_C068_Proxy.mp4,8.125
227,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201454_C069_Proxy.mp4,13.5
228,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201455_C070_Proxy.mp4,6.25
229,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201455_C071_Proxy.mp4,15.083333
230,Gray and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A010_01201455_C072_Proxy.mp4,14.916667
231,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201456_C073_Proxy.mp4,6.416667
232,Gray and Olive,E:\CLOUD FILM MEDIA\PROXIES\A010_01201456_C074_Proxy.mp4,0.916667
233,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201457_C075_Proxy.mp4,7.291667
234,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201457_C076_Proxy.mp4,7.708333
235,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201458_C077_Proxy.mp4,7.833333
236,Dolly and Pink,E:\CLOUD FILM MEDIA\PROXIES\A010_01201458_C078_Proxy.mp4,7.0
237,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201459_C079_Proxy.mp4,20.958333
238,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201459_C080_Proxy.mp4,25.958333
239,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201500_C081_Proxy.mp4,48.708333
240,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201502_C082_Proxy.mp4,2.25
241,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201502_C083_Proxy.mp4,4.75
242,Teal and Purple,E:\CLOUD FILM MEDIA\PROXIES\A010_01201504_C084_Proxy.mp4,2.416667
243,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201504_C085_Proxy.mp4,5.333333
244,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201505_C086_Proxy.mp4,44.041667
